"PolicyName","Type","PolicyAction","ApplicationName","ApplicationType","TotalWeight"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","404a6bd0-9941-4e93-a024-72086fe3f98f","MSI","15"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","25c1e5b4-8819-46f0-b3ee-687c12c23b24","EXE","7,5"
"RUN_INS_PLCs_N","Advanced Windows","Elevate","a7937942-9b54-454e-846d-f0c6d135c375","MSI","15"
"RUN_INS_group\RS_E3_SW","Advanced Windows","Elevate","4f4bdcf3-4ba6-4717-8301-cf9bd78fb70a","MSI","15"
"RUN_INS_group\RS_E3_SW","Advanced Windows","Elevate","8b26da83-2d98-4ea1-8520-6a916e165812","MSU","15"
"RUN_INS_group\RS_E3_SW","Advanced Windows","Elevate","83986cbc-eb4b-4551-95dd-4fc91d85c6d1","EXE","7,5"
"RUN_APP_SecureConnect_C","Advanced Windows","Elevate","secureconnect.exe","EXE","67,5"
"RUN_APP_SecureConnect_C","Advanced Windows","Elevate","secureconnect.exe","EXE","67,5"
"RUN_APP_SIMU_C","Advanced Windows","Elevate if necessary","simu.exe","EXE","75"
"RUN_APP_MonitorClient_N to be deleted","Advanced Windows","Elevate","MonitorClient.exe","EXE","45"
"RUN_INS_group\chargeBIG\INSTALLATION_FOLDER","Advanced Windows","Elevate","6936d1e4-dc88-4cb3-9b2d-c6eddbf3c6c1","MSI","15"
"RUN_INS_group\chargeBIG\INSTALLATION_FOLDER","Advanced Windows","Elevate","6922e3c4-cd62-4ca2-be9d-3e5de706be80","MSU","15"
"RUN_INS_group\chargeBIG\INSTALLATION_FOLDER","Advanced Windows","Elevate","6902eff1-5781-4107-89fe-91e24901c250","EXE","7,5"
"RUN_APP_iMaGeo_C","Advanced Windows","Elevate","iMaGeoBCB6.0709.exe","EXE","22,5"
"RUN_INS_group\PreDevelopmentSoftwareTools","Advanced Windows","Elevate","2d2c806c-48a4-46b4-8bfd-3f6b6c015970","MSI","15"
"RUN_INS_group\PreDevelopmentSoftwareTools","Advanced Windows","Elevate","18740442-7a59-4f81-92da-b81f4f7b943e","EXE","7,5"
"RUN_INS_group\PreDevelopmentSoftwareTools","Advanced Windows","Elevate","16714cf8-68aa-4f84-86b5-8f3fd7016658","MSU","15"
"RUN_APP_TELECOM_C","Advanced Windows","Elevate","Nextcloud GmbH","MSI","30"
"RUN_APP_TELECOM_C","Advanced Windows","Elevate","Nextcloud GmbH","EXE","15"
"RUN_APP_TELECOM_C","Advanced Windows","Elevate","Avaya Inc.","EXE","15"
"RUN_APP_TELECOM_C","Advanced Windows","Elevate","Avaya Inc.","MSI","30"
"RUN_APP_Tomcat8w_N","Advanced Windows","Elevate","tomcat8w.exe","EXE","45"
"RUN_APP_Tomcat8w_N","Advanced Windows","Elevate","tomcat8w.exe","EXE","45"
"RUN_APP_Tomcat8w_N","Advanced Windows","Elevate","Tomcat7.exe","EXE","45"
"RUN_APP_Tomcat8w_N","Advanced Windows","Elevate","Tomcat8.5-AdminLogiq.exe","EXE","45"
"RUN_APP_Tomcat8w_N","Advanced Windows","Elevate","Tomcat8.5-AdminLogiqw.exe","EXE","45"
"RUN_APP_Tomcat8w_N","Advanced Windows","Elevate","Tomcat8-AdminLogiq.exe","EXE","45"
"RUN_APP_Tomcat8w_N","Advanced Windows","Elevate","Tomcat8-AdminLogiqw.exe","EXE","45"
"RUN_APP_UninstallTool_C","Advanced Windows","Elevate","uninstalltool.exe","EXE","26,25"
"RAS_APP_AdoberARMHelper_C","Advanced Windows","Elevate if necessary","AdobeARMHelper.exe","EXE","37,5"
"RUN_APP_TempMonitorS2_N","Advanced Windows","Elevate","temp monitor_s2.exe","EXE","85"
"Temporary elevation - tamrun12.exe for ITC\Jon.Dunn - 24 hours","Advanced Windows","Elevate","tamrun12.exe","EXE","135"
"RAS_APP_xampp_C","Advanced Windows","Elevate if necessary","xampp-control.exe","EXE","22,5"
"RAS_APPS_Oracle_N","Advanced Windows","Elevate if necessary","sqldeveloper.exe","EXE","22,5"
"RAS_APPS_Oracle_N","Advanced Windows","Elevate if necessary","launch.exe","EXE","55"
"RAS_APPS_Oracle_N","Advanced Windows","Elevate if necessary","sqldeveloperw.exe","EXE","55"
"RAS_APP_XAssistant_N","Advanced Windows","Elevate if necessary","XAssistant.exe","EXE","45"
"RUN_APP_CanteenCoupon_N","Advanced Windows","Elevate","canteencouponapplication.exe","EXE","105"
"RAS_APP_e2studio_N","Advanced Windows","Elevate if necessary","e2studio.exe","EXE","45"
"RUN_INS_G:\WM-HR\Zeiten Azubis\Software","Advanced Windows","Elevate","70aa0bf6-b3a0-4930-9c03-e3c989e11bea","EXE","7,5"
"RUN_INS_G:\WM-HR\Zeiten Azubis\Software","Advanced Windows","Elevate","9cd34d44-7cd7-485c-a125-36e17b66e9be","MSI","15"
"RUN_INS_\\plkr-filer02\OT","Advanced Windows","Elevate","e6473e69-8b88-4e18-8dce-b7e7192b9238","MSI","15"
"RUN_INS_\\plkr-filer02\OT","Advanced Windows","Elevate","2be520a7-48f0-4be8-8f69-9d83dc74934e","MSU","15"
"RUN_INS_\\plkr-filer02\OT","Advanced Windows","Elevate","6e64665c-f9e5-463b-9a50-7c6020eaeb10","EXE","7,5"
"RUN_APP_CV-X Series Workspace-Software_C","Advanced Windows","Elevate","CV-X Series Workspace-Software.exe","EXE","7,5"
"RUN_APP_SIEMENS_C","Advanced Windows","Elevate","Siemens.Automation.Portal.exe","EXE","82,5"
"RUN_APP_SIEMENS_C","Advanced Windows","Elevate","Siemens.Automation.Portal.exe","EXE","52,5"
"RUN_APP_SIEMENS_C","Advanced Windows","Elevate","Siemens.Automation.Portal.exe","EXE","82,5"
"RUN_APP_SIEMENS_C","Advanced Windows","Elevate","Siemens.Automation.Portal.exe","EXE","52,5"
"RUN_APP_SIEMENS_C","Advanced Windows","Elevate","SIMATIC_Automation_Software_Updater_V2_5_SP3.exe","EXE","45"
"RUN_APP_SIEMENS_C","Advanced Windows","Elevate","Siemens.Simatic.PlcSim.Advanced.UserInterface.exe","EXE","52,5"
"RUN_APP_SIEMENS_C","Advanced Windows","Elevate","Siemens.Automation.Portal.exe","EXE","52,5"
"RUN_APP_SIEMENS_C","Advanced Windows","Elevate","SIEMENS AG","EXE","25"
"RUN_APP_SIEMENS_C","Advanced Windows","Elevate","SINEMA_RC_Client.exe","EXE","22,5"
"RUN_APP_USBCreator_N","Advanced Windows","Elevate","acs_usb_creator.exe","EXE","42,5"
"RWB_ActiveX_ez-van.hd-infracore.com","Advanced Windows","Elevate","c8894516-02f3-438e-b8bc-0100e10528a8","ActiveX","0"
"RAS_APP_SolMark_N","Advanced Windows","Elevate if necessary","smark.exe","EXE","95"
"RAS_APP_WinServiceWnd_N","Advanced Windows","Elevate if necessary","WebPluginService.exe","EXE","105"
"RUN_APPS_EXAPT_N","Advanced Windows","Elevate","fdo.exe","EXE","45"
"RUN_APPS_EXAPT_N","Advanced Windows","Elevate","exastart.exe","EXE","95"
"RUN_APPS_EXAPT_N","Advanced Windows","Elevate","exaptplus.exe","EXE","95"
"RUN_APPS_EXAPT_N","Advanced Windows","Elevate","exaptcadi.exe","EXE","95"
"RUN_APPS_EXAPT_N","Advanced Windows","Elevate","bmo.exe","EXE","45"
"RUN_APPS_EXAPT_N","Advanced Windows","Elevate","compiler.exe","EXE","95"
"RUN_APPS_EXAPT_N","Advanced Windows","Elevate","exaptbmg.exe","EXE","95"
"RUN_APPS_EXAPT_N","Advanced Windows","Elevate","nceditor.exe","EXE","95"
"RUN_APP_Protokollprogramm_N","Advanced Windows","Elevate","protocolsoftware german.exe","EXE","75"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","winshuttle-studio-12.01.00190.5082.exe","EXE","52,5"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","JTB World Inc.","EXE","15"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","setup.exe","EXE","105"
"RUN_APP_CAD_TEAM_Products_C","Advanced Windows","Elevate","cmd.exe","EXE","52,5"
